customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,age,gender,registration_date,related_accounts
20260423000000,Vincenzo,Heinrich,karl-josefeckbauer@example.org,06972 627733,Budigstr. 8/9,Belzig,Suriname,45754,78,Female,2012-02-15,2933
20260423000001,Annelies,Holzapfel,marten30@example.net,03791 25771,Andrzej-Jüttner-Gasse 41/12,Bamberg,Demokratische Republik Kongo,97031,56,Other,2015-08-16,"3164,6327"
20260423000002,Laureen,Mark,rayanaschiestl@example.org,0463/44970499,Ungerstraße 3,Klagenfurt,Turks- und Caicosinseln,5837,25,Male,2023-08-22,"7270,3899,7659"
20260423000003,François,Vaillant,alfredle-goff@example.org,02 58 82 04 53,avenue de Masson,Gillet-sur-Étienne,Groenland,01693,36,Female,2010-10-13,"3980,8608,9506"
20260423000004,William,Payne,rachelslater@example.com,+44(0)141 4960065,Studio 50L\nLee Crossroad,Lake Brianton,Niue,SM3 6JS,42,Female,2020-12-10,"6110,5577"
20260423000005,Lesley,Mills,rosemarysmith@example.org,0115 496 0841,875 Smith Park,South Stuartshire,Nigeria,SA05 5AH,68,Other,2017-08-06,
20260423000006,Carola,Staub,raoul90@example.com,+41 31 410 47 80,Rüeggstrasse 609,Dietikon,Venezuela,6524,49,Female,2017-09-17,"3026,6942,8608"
20260423000007,Umberto,Morandini,warmani@example.net,+39 33111442180,"Incrocio Leopoldo, 3 Appartamento 95",Artena,Bolivia,20144,40,Other,2025-07-01,"2180,4816"
20260423000008,Dursun,Johann,gudefrederike@example.com,0252308925,Ingrid-Renner-Allee 47,Gera,Myanmar,79661,61,Other,2019-08-11,"5968,7752,3301"
20260423000009,Anastasia,Karz,soedingnicolai@example.org,08120 828912,Bauerallee 4,Hohenstein-Ernstthal,Niederlande,67270,75,Other,2014-01-29,"7659,8886,7983"
20260423000010,Nanni,Bellocchio,fpistoletto@example.org,+39 0125844760,"Via Berrè, 40 Appartamento 1",Cannigione,Emirati Arabi Uniti,28801,70,Female,2016-07-08,"4469,4308"
20260423000011,Hermann Josef,Rohleder,schoenlandhans-joerg@example.net,06360 98952,Hildburg-Schaaf-Platz 88/80,Stollberg,Réunion,59779,75,Other,2012-04-30,"8315,3910"
20260423000012,Dominik,Gryszkiewicz,roksananawrotek@example.org,+48 608 763 809,plac Kościuszki 392,Kościan,Tunisia,48-127,39,Male,2019-03-06,"7220,9292"
20260423000013,Ámbar,Galván,jimenamarquez@example.org,+34976 34 20 85,Plaza Pelayo Valderrama 668,Málaga,Djibouti,12850,61,Other,2019-09-28,
20260423000014,Dean,Brun,ismetfavre@example.net,+41 26 761 69 22,Eugsterstrasse 939,Weinfelden,Nördliche Marianen,9415,27,Other,2015-04-22,9506
20260423000015,Sebastian,Feichtenschlager,wlettner@example.org,05209/96114772,Richard-Stelzer-Ring 6,Mödling,Brunei Darussalam,1364,34,Other,2018-04-01,
20260423000016,Jacqueline,Dixon,phillipscott@example.net,028 9018583,5 Marian Trace,Port Garyshire,Sudan,L2 3NU,35,Male,2018-01-19,"2176,4847"
20260423000017,Juliette,Joly,blanchardaudrey@example.com,0269661131,"39, chemin de Coulon",Gautier,Nepal,09119,23,Male,2016-06-07,
20260423000018,Amélie,Picard,aime77@example.org,0384239648,"899, rue Margot Lambert",Fabrenec,Antilles néerlandaises,95304,49,Other,2025-07-21,
20260423000019,Adrianna,Cabała,pabisiakdagmara@example.org,660 400 252,plac Miłosza 932,Starogard Gdański,New Zealand,36-674,73,Female,2015-08-14,"2607,4721"
20260423000020,Apolonia,Torrijos,sorayagaliano@example.net,+34979 547 656,Cuesta de Mariano Maestre 23,Álava,Luxemburgo,01006,54,Female,2023-09-15,2032
20260423000021,Alexander,Murphy,maria01@example.net,(0161) 496 0556,968 Shepherd Views,Lake Cameron,Montenegro,OX5B 8FP,67,Female,2025-03-04,"8824,5868,8222"
20260423000022,Priscilla,Cherubini,jchechi@example.org,053671607,"Via Calarco, 33 Appartamento 23",Arina,Wallis and Futuna,71010,79,Other,2019-07-23,"2156,2014"
20260423000023,Jordan,Stanley,lcook@example.net,+44(0)117 4960974,Studio 3\nLeigh Corners,Clarkmouth,Afghanistan,NN5 5PE,64,Male,2020-08-13,"6324,4936,2692"
20260423000024,Vinicio,Larrea,amilcar06@example.com,+34 880053439,Ronda de Gabriela Bustamante 6,Huesca,Panamá,30276,22,Female,2023-07-13,"8391,3214"
20260423000025,Manuela,Weiss,hdietl@example.org,+43 296304581213,Lamplplatz 287,Grein,Bouvetinsel,3601,42,Female,2024-04-11,
20260423000026,Paul,Schäfer,scheideggersilvano@example.net,+41 62 755 43 01,Kernstrasse 57,Möhlin,Nauru,8496,52,Other,2017-05-21,
20260423000027,Inge,Mans,karl-juergen26@example.com,+49(0)3588 80936,Ferdinand-Möchlichen-Ring 20,Hohenstein-Ernstthal,Malaysia,88174,43,Male,2013-08-18,
20260423000028,Miodrag,Wüthrich,hermannsanja@example.org,+41 31 619 04 48,Lüthistrasse 68,Pully,Afghanistan,6547,26,Female,2023-09-21,"2473,9865"
20260423000029,César,Ávila,calderonprudencia@example.org,+34945 897 379,Rambla de Ileana Escribano 28 Apt. 70 ,Vizcaya,República Democrática del Congo,14818,37,Female,2015-05-04,"2267,3286,6600"
20260423000030,Martin,Joyce,katie98@example.org,(0191) 496 0171,3 Melissa Gardens,Daviestown,British Virgin Islands,TR6 5UJ,41,Male,2022-05-22,"4918,4624,4287"
20260423000031,Wenzel,Stolze,sandor69@example.net,+49(0)0518 393809,Romuald-Trommler-Straße 72-46,Steinfurt,Neuseeland,19083,70,Female,2017-12-12,5890
20260423000032,Alexandrie,Grenier,jacques84@example.org,05 31 11 79 70,"805, rue de Godard",Aubry-la-Forêt,Namibie,97687,58,Female,2015-01-01,"2083,6521"
20260423000033,Aurélie,Bodin,reneechretien@example.com,+33 6 32 82 61 28,"19, rue de Charrier",Albert,Malte,55729,41,Female,2015-11-13,
20260423000034,Anastasios,Benthin,jorge37@example.com,0763173568,Lilli-Kuhl-Allee 3-4,Dinkelsbühl,Eritrea,05087,50,Male,2023-03-28,
20260423000035,Arthur,Holsten,tuerkan39@example.net,+49(0) 476962537,Bohnbachstr. 95/98,Olpe,Slowenien,87304,45,Male,2025-01-11,"2265,9883"
20260423000036,Eliana,Porzio,evaburcardo@example.org,+39 0394516019,"Canale Barzini, 54",Venco',Pitcairn Islands,08029,62,Other,2016-05-10,
20260423000037,Victor,Fischer,etienne95@example.net,+33 3 29 48 98 56,chemin Aurore Couturier,Hoareau-sur-Pelletier,Falkland (Île),46379,53,Female,2013-05-07,
20260423000038,Christelle,Blanchet,gguillou@example.com,+33 (0)2 48 71 56 95,"83, chemin de Guichard",Bourgeois-les-Bains,Afghanistan,93834,79,Female,2011-07-19,"9223,4636,5007"
20260423000039,Fritz,Lindau,giuseppina38@example.net,02247 542030,Rudolphallee 5-2,Dessau,Namibia,74238,21,Other,2013-04-11,5067
20260423000040,Natali,Scholz,beatagude@example.net,(04659) 929954,Zänkerstraße 3/2,Pfaffenhofen an der Ilm,Philippinen,41648,49,Other,2016-05-20,"2801,5834"
20260423000041,Carina,Osuna,xvaldes@example.net,+34 822 87 59 87,Callejón de Dafne Cabezas 103 Puerta 9 ,Ávila,Bhután,45077,34,Male,2010-11-24,
20260423000042,Ulf,Fröhlich,ingolf77@example.org,(03998) 12746,Wojciech-Dobes-Allee 7657,Dinslaken,Madagaskar,56828,46,Other,2016-04-01,3604
20260423000043,Salma,Schüller,gschiefer@example.net,0732 16324 456,Pfisterweg 0/6,Hartberg,Dänemark,6987,38,Female,2015-05-09,"4313,8061,8469"
